orderid,totalcost,orderdate
9347,11.30,2024-09-27 16:54:40
9348,12.70,2024-09-27 16:56:00
9349,11.30,2024-09-27 16:57:20
9350,11.30,2024-09-27 16:58:40
9351,11.30,2024-09-27 17:00:00
9352,24.00,2024-09-27 17:01:20
9353,11.30,2024-09-27 17:02:40
9354,11.30,2024-09-27 17:04:00
9355,12.70,2024-09-27 17:05:20
9356,45.20,2024-09-27 17:06:40
9357,12.70,2024-09-27 17:08:00
9358,11.30,2024-09-27 17:09:20
9359,11.30,2024-09-27 17:10:40
9360,11.30,2024-09-27 17:12:00
9361,9.80,2024-09-27 17:13:20
9362,12.70,2024-09-27 17:14:40
9363,11.30,2024-09-27 17:16:00
9364,12.70,2024-09-27 17:17:20
9365,24.00,2024-09-27 17:18:40
9366,12.70,2024-09-27 17:20:00
9367,11.30,2024-09-27 17:21:20
9368,25.40,2024-09-27 17:22:40
9369,24.00,2024-09-27 17:24:00
9370,11.30,2024-09-27 17:25:20
9371,11.30,2024-09-27 17:26:40
9372,11.30,2024-09-27 17:28:00
9373,11.30,2024-09-27 17:29:20
9374,12.70,2024-09-27 17:30:40
9375,11.30,2024-09-27 17:32:00
9376,12.70,2024-09-27 17:33:20
9377,9.80,2024-09-27 17:34:40
9378,12.70,2024-09-27 17:36:00
9379,11.30,2024-09-27 17:37:20
9380,12.70,2024-09-27 17:38:40
9381,12.70,2024-09-27 17:40:00
9382,22.60,2024-09-27 17:41:20
9383,12.70,2024-09-27 17:42:40
9384,11.30,2024-09-27 17:44:00
9385,11.30,2024-09-27 17:45:20
9386,11.30,2024-09-27 17:46:40
9387,11.30,2024-09-27 17:48:00
9388,9.80,2024-09-27 17:49:20
9389,8.30,2024-09-27 17:50:40
9390,11.30,2024-09-27 17:52:00
9391,11.30,2024-09-27 17:53:20
9392,11.30,2024-09-27 17:54:40
9393,12.70,2024-09-27 17:56:00
9394,11.30,2024-09-27 17:57:20
9395,9.80,2024-09-27 17:58:40
9396,11.30,2024-09-27 18:00:00
9397,9.80,2024-09-27 18:01:20
9398,11.30,2024-09-27 18:02:40
9399,11.30,2024-09-27 18:04:00
9400,12.70,2024-09-27 18:05:20
9401,11.30,2024-09-27 18:06:40
9402,9.80,2024-09-27 18:08:00
9403,12.70,2024-09-27 18:09:20
9404,11.30,2024-09-27 18:10:40
9405,12.70,2024-09-27 18:12:00
9406,11.30,2024-09-27 18:13:20
9407,11.30,2024-09-27 18:14:40
9408,12.70,2024-09-27 18:16:00
9409,12.70,2024-09-27 18:17:20
9410,11.30,2024-09-27 18:18:40
9411,9.80,2024-09-27 18:20:00
9412,12.70,2024-09-27 18:21:20
9413,12.70,2024-09-27 18:22:40
9414,12.70,2024-09-27 18:24:00
9415,11.30,2024-09-27 18:25:20
9416,12.70,2024-09-27 18:26:40
9417,33.80,2024-09-27 18:28:00
9418,12.70,2024-09-27 18:29:20
9419,24.00,2024-09-27 18:30:40
9420,9.80,2024-09-27 18:32:00
9421,38.10,2024-09-27 18:33:20
9422,12.70,2024-09-27 18:34:40
9423,11.30,2024-09-27 18:36:00
9424,11.30,2024-09-27 18:37:20
9425,11.30,2024-09-27 18:38:40
9426,11.30,2024-09-27 18:40:00
9427,11.30,2024-09-27 18:41:20
9428,24.00,2024-09-27 18:42:40
9429,11.30,2024-09-27 18:44:00
9430,11.30,2024-09-27 18:45:20
9431,12.70,2024-09-27 18:46:40
9432,11.30,2024-09-27 18:48:00
9433,11.30,2024-09-27 18:49:20
9434,9.80,2024-09-27 18:50:40
9435,12.70,2024-09-27 18:52:00
9436,24.00,2024-09-27 18:53:20
9437,12.70,2024-09-27 18:54:40
9438,12.70,2024-09-27 18:56:00
9439,11.30,2024-09-27 18:57:20
9440,11.30,2024-09-27 18:58:40
9441,11.30,2024-09-27 19:00:00
9442,12.70,2024-09-27 19:01:20
9443,12.70,2024-09-27 19:02:40
9444,11.30,2024-09-27 19:04:00
9445,12.70,2024-09-27 19:05:20
9446,11.30,2024-09-27 19:06:40
9447,11.30,2024-09-27 19:08:00
9448,12.70,2024-09-27 19:09:20
9449,36.70,2024-09-27 19:10:40
9450,12.70,2024-09-27 19:12:00
9451,12.70,2024-09-27 19:13:20
9452,11.30,2024-09-27 19:14:40
9453,9.80,2024-09-27 19:16:00
9454,11.30,2024-09-27 19:17:20
9455,11.30,2024-09-27 19:18:40
9456,11.30,2024-09-27 19:20:00
9457,11.30,2024-09-27 19:21:20
9458,12.70,2024-09-27 19:22:40
9459,12.70,2024-09-27 19:24:00
9460,12.70,2024-09-27 19:25:20
9461,9.80,2024-09-27 19:26:40
9462,12.70,2024-09-27 19:28:00
9463,11.30,2024-09-27 19:29:20
9464,11.30,2024-09-27 19:30:40
9465,24.00,2024-09-27 19:32:00
9466,11.30,2024-09-27 19:33:20
9467,22.50,2024-09-27 19:34:40
9468,12.70,2024-09-27 19:36:00
9469,22.60,2024-09-27 19:37:20
9470,12.70,2024-09-27 19:38:40
9471,11.30,2024-09-27 19:40:00
9472,11.30,2024-09-27 19:41:20
9473,25.40,2024-09-27 19:42:40
9474,12.70,2024-09-27 19:44:00
9475,11.30,2024-09-27 19:45:20
9476,11.30,2024-09-27 19:46:40
9477,11.30,2024-09-27 19:48:00
9478,11.30,2024-09-27 19:49:20
9479,11.30,2024-09-27 19:50:40
9480,11.30,2024-09-27 19:52:00
9481,11.30,2024-09-27 19:53:20
9482,11.30,2024-09-27 19:54:40
9483,11.30,2024-09-27 19:56:00
9484,12.70,2024-09-27 19:57:20
9485,12.70,2024-09-30 10:02:04
9486,9.80,2024-09-30 10:04:08
9487,12.70,2024-09-30 10:06:12
9488,11.30,2024-09-30 10:08:16
9489,36.70,2024-09-30 10:10:20
9490,12.70,2024-09-30 10:12:24
9491,12.70,2024-09-30 10:14:28
9492,11.30,2024-09-30 10:16:32
9493,12.70,2024-09-30 10:18:36
9494,11.30,2024-09-30 10:20:40
9495,12.70,2024-09-30 10:22:44
9496,12.70,2024-09-30 10:24:48
9497,12.70,2024-09-30 10:26:52
9498,12.70,2024-09-30 10:28:56
9499,9.80,2024-09-30 10:31:00
9500,11.30,2024-09-30 10:33:04
9501,11.30,2024-09-30 10:35:08
9502,11.30,2024-09-30 10:37:12
9503,11.30,2024-09-30 10:39:16
9504,11.30,2024-09-30 10:41:20
9505,11.30,2024-09-30 10:43:24
9506,11.30,2024-09-30 10:45:28
9507,11.30,2024-09-30 10:47:32
9508,24.00,2024-09-30 10:49:36
9509,11.30,2024-09-30 10:51:40
9510,22.60,2024-09-30 10:53:44
9511,12.70,2024-09-30 10:55:48
9512,12.70,2024-09-30 10:57:52
9513,11.30,2024-09-30 10:59:56
9514,12.70,2024-09-30 11:02:00
9515,11.30,2024-09-30 11:04:04
9516,11.30,2024-09-30 11:06:08
9517,12.70,2024-09-30 11:08:12
9518,36.70,2024-09-30 11:10:16
9519,8.30,2024-09-30 11:12:20
9520,11.30,2024-09-30 11:14:24
9521,11.30,2024-09-30 11:16:28
9522,9.80,2024-09-30 11:18:32
9523,12.70,2024-09-30 11:20:36
9524,11.30,2024-09-30 11:22:40
9525,11.30,2024-09-30 11:24:44
9526,11.30,2024-09-30 11:26:48
9527,11.30,2024-09-30 11:28:52
9528,12.70,2024-09-30 11:30:56
9529,11.30,2024-09-30 11:33:00
9530,11.30,2024-09-30 11:35:04
9531,11.30,2024-09-30 11:37:08
9532,12.70,2024-09-30 11:39:12
9533,11.30,2024-09-30 11:41:16
9534,11.30,2024-09-30 11:43:20
9535,11.30,2024-09-30 11:45:24
9536,12.70,2024-09-30 11:47:28
9537,11.30,2024-09-30 11:49:32
9538,11.30,2024-09-30 11:51:36
9539,11.30,2024-09-30 11:53:40
9540,11.30,2024-09-30 11:55:44
9541,12.70,2024-09-30 11:57:48
9542,11.30,2024-09-30 11:59:52
9543,11.30,2024-09-30 12:01:56
9544,12.70,2024-09-30 12:04:00
9545,12.70,2024-09-30 12:06:04
9546,11.30,2024-09-30 12:08:08
9547,11.30,2024-09-30 12:10:12
9548,22.60,2024-09-30 12:12:16
9549,33.90,2024-09-30 12:14:20
9550,11.30,2024-09-30 12:16:24
9551,12.70,2024-09-30 12:18:28
9552,12.70,2024-09-30 12:20:32
9553,11.30,2024-09-30 12:22:36
9554,12.70,2024-09-30 12:24:40
9555,11.30,2024-09-30 12:26:44
9556,12.70,2024-09-30 12:28:48
9557,12.70,2024-09-30 12:30:52
9558,12.70,2024-09-30 12:32:56
9559,12.70,2024-09-30 12:35:00
9560,12.70,2024-09-30 12:37:04
9561,11.30,2024-09-30 12:39:08
9562,11.30,2024-09-30 12:41:12
9563,12.70,2024-09-30 12:43:16
9564,11.30,2024-09-30 12:45:20
9565,12.70,2024-09-30 12:47:24
9566,12.70,2024-09-30 12:49:28
9567,11.30,2024-09-30 12:51:32
9568,12.70,2024-09-30 12:53:36
9569,12.70,2024-09-30 12:55:40
9570,12.70,2024-09-30 12:57:44
9571,11.30,2024-09-30 12:59:48
9572,11.30,2024-09-30 13:01:52
9573,11.30,2024-09-30 13:03:56
9574,11.30,2024-09-30 13:06:00
9575,9.80,2024-09-30 13:08:04
9576,12.70,2024-09-30 13:10:08
9577,11.30,2024-09-30 13:12:12
9578,11.30,2024-09-30 13:14:16
9579,12.70,2024-09-30 13:16:20
9580,9.80,2024-09-30 13:18:24
9581,9.80,2024-09-30 13:20:28
9582,11.30,2024-09-30 13:22:32
9583,11.30,2024-09-30 13:24:36
9584,11.30,2024-09-30 13:26:40
9585,11.30,2024-09-30 13:28:44
9586,11.30,2024-09-30 13:30:48
9587,12.70,2024-09-30 13:32:52
9588,12.70,2024-09-30 13:34:56
9589,11.30,2024-09-30 13:37:00
9590,11.30,2024-09-30 13:39:04
9591,11.30,2024-09-30 13:41:08
9592,12.70,2024-09-30 13:43:12
9593,9.80,2024-09-30 13:45:16
9594,12.70,2024-09-30 13:47:20
9595,12.70,2024-09-30 13:49:24
9596,11.30,2024-09-30 13:51:28
9597,11.30,2024-09-30 13:53:32
9598,12.70,2024-09-30 13:55:36
9599,11.30,2024-09-30 13:57:40
9600,9.80,2024-09-30 13:59:44
9601,11.30,2024-09-30 14:01:48
9602,12.70,2024-09-30 14:03:52
9603,11.30,2024-09-30 14:05:56
9604,11.30,2024-09-30 14:08:00
9605,11.30,2024-09-30 14:10:04
9606,11.30,2024-09-30 14:12:08
9607,11.30,2024-09-30 14:14:12
9608,24.00,2024-09-30 14:16:16
9609,11.30,2024-09-30 14:18:20
9610,12.70,2024-09-30 14:20:24
9611,12.70,2024-09-30 14:22:28
9612,11.30,2024-09-30 14:24:32
9613,11.30,2024-09-30 14:26:36
9614,9.80,2024-09-30 14:28:40
9615,11.30,2024-09-30 14:30:44
9616,11.30,2024-09-30 14:32:48
9617,11.30,2024-09-30 14:34:52
9618,12.70,2024-09-30 14:36:56
9619,11.30,2024-09-30 14:39:00
9620,11.30,2024-09-30 14:41:04
9621,22.60,2024-09-30 14:43:08
9622,11.30,2024-09-30 14:45:12
9623,11.30,2024-09-30 14:47:16
9624,11.30,2024-09-30 14:49:20
9625,11.30,2024-09-30 14:51:24
9626,12.70,2024-09-30 14:53:28
9627,11.30,2024-09-30 14:55:32
9628,21.10,2024-09-30 14:57:36
9629,11.30,2024-09-30 14:59:40
9630,11.30,2024-09-30 15:01:44
9631,9.80,2024-09-30 15:03:48
9632,12.70,2024-09-30 15:05:52
9633,11.30,2024-09-30 15:07:56
9634,9.80,2024-09-30 15:10:00
9635,11.30,2024-09-30 15:12:04
9636,11.30,2024-09-30 15:14:08
9637,12.70,2024-09-30 15:16:12
9638,9.80,2024-09-30 15:18:16
9639,11.30,2024-09-30 15:20:20
9640,12.70,2024-09-30 15:22:24
9641,9.80,2024-09-30 15:24:28
9642,11.30,2024-09-30 15:26:32
9643,12.70,2024-09-30 15:28:36
9644,11.30,2024-09-30 15:30:40
9645,11.30,2024-09-30 15:32:44
9646,12.70,2024-09-30 15:34:48
9647,22.60,2024-09-30 15:36:52
9648,12.70,2024-09-30 15:38:56
9649,11.30,2024-09-30 15:41:00
9650,11.30,2024-09-30 15:43:04
9651,11.30,2024-09-30 15:45:08
9652,12.70,2024-09-30 15:47:12
9653,12.70,2024-09-30 15:49:16
9654,11.30,2024-09-30 15:51:20
9655,11.30,2024-09-30 15:53:24
9656,12.70,2024-09-30 15:55:28
9657,12.70,2024-09-30 15:57:32
9658,12.70,2024-09-30 15:59:36
9659,12.70,2024-09-30 16:01:40
9660,9.80,2024-09-30 16:03:44
9661,11.30,2024-09-30 16:05:48
9662,11.30,2024-09-30 16:07:52
9663,12.70,2024-09-30 16:09:56
9664,12.70,2024-09-30 16:12:00
9665,11.30,2024-09-30 16:14:04
9666,11.30,2024-09-30 16:16:08
9667,30.90,2024-09-30 16:18:12
9668,11.30,2024-09-30 16:20:16
9669,9.80,2024-09-30 16:22:20
9670,12.70,2024-09-30 16:24:24
9671,11.30,2024-09-30 16:26:28
9672,11.30,2024-09-30 16:28:32
9673,11.30,2024-09-30 16:30:36
9674,9.80,2024-09-30 16:32:40
9675,11.30,2024-09-30 16:34:44
9676,11.30,2024-09-30 16:36:48
9677,11.30,2024-09-30 16:38:52
9678,9.80,2024-09-30 16:40:56
9679,11.30,2024-09-30 16:43:00
9680,11.30,2024-09-30 16:45:04
9681,11.30,2024-09-30 16:47:08
9682,12.70,2024-09-30 16:49:12
9683,11.30,2024-09-30 16:51:16
9684,11.30,2024-09-30 16:53:20
9685,11.30,2024-09-30 16:55:24
9686,12.70,2024-09-30 16:57:28
9687,12.70,2024-09-30 16:59:32
9688,24.00,2024-09-30 17:01:36
9689,12.70,2024-09-30 17:03:40
9690,11.30,2024-09-30 17:05:44
9691,9.80,2024-09-30 17:07:48
9692,11.30,2024-09-30 17:09:52
9693,12.70,2024-09-30 17:11:56
9694,11.30,2024-09-30 17:14:00
9695,11.30,2024-09-30 17:16:04
9696,11.30,2024-09-30 17:18:08
9697,11.30,2024-09-30 17:20:12
9698,11.30,2024-09-30 17:22:16
9699,11.30,2024-09-30 17:24:20
9700,11.30,2024-09-30 17:26:24
9701,12.70,2024-09-30 17:28:28
9702,21.10,2024-09-30 17:30:32
9703,11.30,2024-09-30 17:32:36
9704,12.70,2024-09-30 17:34:40
9705,12.70,2024-09-30 17:36:44
9706,11.30,2024-09-30 17:38:48
9707,9.80,2024-09-30 17:40:52
9708,11.30,2024-09-30 17:42:56
9709,11.30,2024-09-30 17:45:00
9710,12.70,2024-09-30 17:47:04
9711,11.30,2024-09-30 17:49:08
9712,12.70,2024-09-30 17:51:12
9713,11.30,2024-09-30 17:53:16
9714,11.30,2024-09-30 17:55:20
9715,12.70,2024-09-30 17:57:24
9716,11.30,2024-09-30 17:59:28
9717,11.30,2024-09-30 18:01:32
9718,11.30,2024-09-30 18:03:36
9719,9.80,2024-09-30 18:05:40
9720,11.30,2024-09-30 18:07:44
9721,11.30,2024-09-30 18:09:48
9722,11.30,2024-09-30 18:11:52
9723,22.60,2024-09-30 18:13:56
9724,9.80,2024-09-30 18:16:00
9725,9.80,2024-09-30 18:18:04
9726,11.30,2024-09-30 18:20:08
9727,9.80,2024-09-30 18:22:12
9728,12.70,2024-09-30 18:24:16
9729,12.70,2024-09-30 18:26:20
9730,11.30,2024-09-30 18:28:24
9731,9.80,2024-09-30 18:30:28
9732,24.00,2024-09-30 18:32:32
9733,9.80,2024-09-30 18:34:36
9734,12.70,2024-09-30 18:36:40
9735,11.30,2024-09-30 18:38:44
9736,12.70,2024-09-30 18:40:48
9737,12.70,2024-09-30 18:42:52
9738,9.80,2024-09-30 18:44:56
9739,11.30,2024-09-30 18:47:00
9740,11.30,2024-09-30 18:49:04
9741,12.70,2024-09-30 18:51:08
9742,12.70,2024-09-30 18:53:12
9743,11.30,2024-09-30 18:55:16
9744,11.30,2024-09-30 18:57:20
9745,12.70,2024-09-30 18:59:24
9746,12.70,2024-09-30 19:01:28
9747,11.30,2024-09-30 19:03:32
9748,12.70,2024-09-30 19:05:36
9749,11.30,2024-09-30 19:07:40
9750,12.70,2024-09-30 19:09:44
9751,24.00,2024-09-30 19:11:48
9752,12.70,2024-09-30 19:13:52
9753,11.30,2024-09-30 19:15:56
9754,11.30,2024-09-30 19:18:00
9755,11.30,2024-09-30 19:20:04
9756,22.60,2024-09-30 19:22:08
9757,25.40,2024-09-30 19:24:12
9758,11.30,2024-09-30 19:26:16
9759,12.70,2024-09-30 19:28:20
9760,12.70,2024-09-30 19:30:24
9761,12.70,2024-09-30 19:32:28
9762,11.30,2024-09-30 19:34:32
9763,12.70,2024-09-30 19:36:36
9764,12.70,2024-09-30 19:38:40
9765,12.70,2024-09-30 19:40:44
9766,11.30,2024-09-30 19:42:48
9767,11.30,2024-09-30 19:44:52
9768,12.70,2024-09-30 19:46:56
9769,11.30,2024-09-30 19:49:00
9770,11.30,2024-09-30 19:51:04
9771,12.70,2024-09-30 19:53:08
9772,9.80,2024-09-30 19:55:12
9773,11.30,2024-09-30 19:57:16
9774,12.70,2024-10-01 10:02:04
9775,11.30,2024-10-01 10:04:08
9776,11.30,2024-10-01 10:06:12
9777,12.70,2024-10-01 10:08:16
9778,11.30,2024-10-01 10:10:20
9779,12.70,2024-10-01 10:12:24
9780,11.30,2024-10-01 10:14:28
9781,11.30,2024-10-01 10:16:32
9782,11.30,2024-10-01 10:18:36
9783,22.60,2024-10-01 10:20:40
9784,12.70,2024-10-01 10:22:44
9785,12.70,2024-10-01 10:24:48
9786,9.80,2024-10-01 10:26:52
9787,11.30,2024-10-01 10:28:56
9788,11.30,2024-10-01 10:31:00
9789,11.30,2024-10-01 10:33:04
9790,11.30,2024-10-01 10:35:08
9791,11.30,2024-10-01 10:37:12
9792,11.30,2024-10-01 10:39:16
9793,12.70,2024-10-01 10:41:20
9794,12.70,2024-10-01 10:43:24
9795,11.30,2024-10-01 10:45:28
9796,11.30,2024-10-01 10:47:32
9797,11.30,2024-10-01 10:49:36
9798,11.30,2024-10-01 10:51:40
9799,11.30,2024-10-01 10:53:44
9800,11.30,2024-10-01 10:55:48
9801,12.70,2024-10-01 10:57:52
9802,12.70,2024-10-01 10:59:56
9803,11.30,2024-10-01 11:02:00
9804,12.70,2024-10-01 11:04:04
9805,12.70,2024-10-01 11:06:08
9806,11.30,2024-10-01 11:08:12
9807,12.70,2024-10-01 11:10:16
9808,9.80,2024-10-01 11:12:20
9809,12.70,2024-10-01 11:14:24
9810,12.70,2024-10-01 11:16:28
9811,12.70,2024-10-01 11:18:32
9812,11.30,2024-10-01 11:20:36
9813,12.70,2024-10-01 11:22:40
9814,9.80,2024-10-01 11:24:44
9815,9.80,2024-10-01 11:26:48
9816,11.30,2024-10-01 11:28:52
9817,12.70,2024-10-01 11:30:56
9818,11.30,2024-10-01 11:33:00
9819,11.30,2024-10-01 11:35:04
9820,11.30,2024-10-01 11:37:08
9821,12.70,2024-10-01 11:39:12
9822,11.30,2024-10-01 11:41:16
9823,9.80,2024-10-01 11:43:20
9824,11.30,2024-10-01 11:45:24
9825,22.60,2024-10-01 11:47:28
9826,11.30,2024-10-01 11:49:32
9827,11.30,2024-10-01 11:51:36
9828,11.30,2024-10-01 11:53:40
9829,11.30,2024-10-01 11:55:44
9830,35.30,2024-10-01 11:57:48
9831,11.30,2024-10-01 11:59:52
9832,12.70,2024-10-01 12:01:56
9833,11.30,2024-10-01 12:04:00
9834,11.30,2024-10-01 12:06:04
9835,11.30,2024-10-01 12:08:08
9836,21.10,2024-10-01 12:10:12
9837,9.80,2024-10-01 12:12:16
9838,11.30,2024-10-01 12:14:20
9839,11.30,2024-10-01 12:16:24
9840,11.30,2024-10-01 12:18:28
9841,33.80,2024-10-01 12:20:32
9842,9.80,2024-10-01 12:22:36
9843,11.30,2024-10-01 12:24:40
9844,11.30,2024-10-01 12:26:44
9845,12.70,2024-10-01 12:28:48
9846,12.70,2024-10-01 12:30:52
9847,11.30,2024-10-01 12:32:56
9848,9.80,2024-10-01 12:35:00
9849,12.70,2024-10-01 12:37:04
9850,11.30,2024-10-01 12:39:08
9851,9.80,2024-10-01 12:41:12
9852,11.30,2024-10-01 12:43:16
9853,12.70,2024-10-01 12:45:20
9854,11.30,2024-10-01 12:47:24
9855,11.30,2024-10-01 12:49:28
9856,12.70,2024-10-01 12:51:32
9857,11.30,2024-10-01 12:53:36
9858,11.30,2024-10-01 12:55:40
9859,12.70,2024-10-01 12:57:44
9860,11.30,2024-10-01 12:59:48
9861,9.80,2024-10-01 13:01:52
9862,12.70,2024-10-01 13:03:56
9863,12.70,2024-10-01 13:06:00
9864,11.30,2024-10-01 13:08:04
9865,9.80,2024-10-01 13:10:08
9866,9.80,2024-10-01 13:12:12
9867,11.30,2024-10-01 13:14:16
9868,11.30,2024-10-01 13:16:20
9869,24.00,2024-10-01 13:18:24
9870,11.30,2024-10-01 13:20:28
9871,12.70,2024-10-01 13:22:32
9872,12.70,2024-10-01 13:24:36
9873,12.70,2024-10-01 13:26:40
9874,11.30,2024-10-01 13:28:44
9875,11.30,2024-10-01 13:30:48
9876,11.30,2024-10-01 13:32:52
9877,12.70,2024-10-01 13:34:56
9878,11.30,2024-10-01 13:37:00
9879,11.30,2024-10-01 13:39:04
9880,11.30,2024-10-01 13:41:08
9881,22.60,2024-10-01 13:43:12
9882,12.70,2024-10-01 13:45:16
9883,11.30,2024-10-01 13:47:20
9884,24.00,2024-10-01 13:49:24
9885,11.30,2024-10-01 13:51:28
9886,11.30,2024-10-01 13:53:32
9887,11.30,2024-10-01 13:55:36
9888,11.30,2024-10-01 13:57:40
9889,11.30,2024-10-01 13:59:44
9890,32.40,2024-10-01 14:01:48
9891,11.30,2024-10-01 14:03:52
9892,12.70,2024-10-01 14:05:56
9893,11.30,2024-10-01 14:08:00
9894,11.30,2024-10-01 14:10:04
9895,11.30,2024-10-01 14:12:08
9896,22.50,2024-10-01 14:14:12
9897,11.30,2024-10-01 14:16:16
9898,11.30,2024-10-01 14:18:20
9899,12.70,2024-10-01 14:20:24
9900,12.70,2024-10-01 14:22:28
9901,11.30,2024-10-01 14:24:32
9902,12.70,2024-10-01 14:26:36
9903,11.30,2024-10-01 14:28:40
9904,11.30,2024-10-01 14:30:44
9905,11.30,2024-10-01 14:32:48
9906,12.70,2024-10-01 14:34:52
9907,11.30,2024-10-01 14:36:56
9908,12.70,2024-10-01 14:39:00
9909,12.70,2024-10-01 14:41:04
9910,11.30,2024-10-01 14:43:08
9911,11.30,2024-10-01 14:45:12
9912,9.80,2024-10-01 14:47:16
9913,12.70,2024-10-01 14:49:20
9914,35.20,2024-10-01 14:51:24
9915,11.30,2024-10-01 14:53:28
9916,25.40,2024-10-01 14:55:32
9917,12.70,2024-10-01 14:57:36
9918,11.30,2024-10-01 14:59:40
9919,11.30,2024-10-01 15:01:44
9920,9.80,2024-10-01 15:03:48
9921,12.70,2024-10-01 15:05:52
9922,9.80,2024-10-01 15:07:56
9923,11.30,2024-10-01 15:10:00
9924,25.40,2024-10-01 15:12:04
9925,25.40,2024-10-01 15:14:08
9926,11.30,2024-10-01 15:16:12
9927,12.70,2024-10-01 15:18:16
9928,11.30,2024-10-01 15:20:20
9929,11.30,2024-10-01 15:22:24
9930,11.30,2024-10-01 15:24:28
9931,12.70,2024-10-01 15:26:32
9932,11.30,2024-10-01 15:28:36
9933,12.70,2024-10-01 15:30:40
9934,11.30,2024-10-01 15:32:44
9935,11.30,2024-10-01 15:34:48
9936,12.70,2024-10-01 15:36:52
9937,12.70,2024-10-01 15:38:56
9938,11.30,2024-10-01 15:41:00
9939,11.30,2024-10-01 15:43:04
9940,12.70,2024-10-01 15:45:08
9941,11.30,2024-10-01 15:47:12
9942,12.70,2024-10-01 15:49:16
9943,11.30,2024-10-01 15:51:20
9944,11.30,2024-10-01 15:53:24
9945,12.70,2024-10-01 15:55:28
9946,22.50,2024-10-01 15:57:32
9947,11.30,2024-10-01 15:59:36
9948,30.90,2024-10-01 16:01:40
9949,22.50,2024-10-01 16:03:44
9950,12.70,2024-10-01 16:05:48
9951,11.30,2024-10-01 16:07:52
9952,11.30,2024-10-01 16:09:56
9953,11.30,2024-10-01 16:12:00
9954,9.80,2024-10-01 16:14:04
9955,11.30,2024-10-01 16:16:08
9956,11.30,2024-10-01 16:18:12
9957,33.80,2024-10-01 16:20:16
9958,9.80,2024-10-01 16:22:20
9959,11.30,2024-10-01 16:24:24
9960,11.30,2024-10-01 16:26:28
9961,12.70,2024-10-01 16:28:32
9962,11.30,2024-10-01 16:30:36
9963,11.30,2024-10-01 16:32:40
9964,11.30,2024-10-01 16:34:44
9965,11.30,2024-10-01 16:36:48
9966,11.30,2024-10-01 16:38:52
9967,22.60,2024-10-01 16:40:56
9968,12.70,2024-10-01 16:43:00
9969,9.80,2024-10-01 16:45:04
9970,11.30,2024-10-01 16:47:08
9971,12.70,2024-10-01 16:49:12
9972,11.30,2024-10-01 16:51:16
9973,12.70,2024-10-01 16:53:20
9974,11.30,2024-10-01 16:55:24
9975,12.70,2024-10-01 16:57:28
9976,11.30,2024-10-01 16:59:32
9977,12.70,2024-10-01 17:01:36
9978,11.30,2024-10-01 17:03:40
9979,12.70,2024-10-01 17:05:44
9980,11.30,2024-10-01 17:07:48
9981,36.70,2024-10-01 17:09:52
9982,12.70,2024-10-01 17:11:56
9983,12.70,2024-10-01 17:14:00
9984,11.30,2024-10-01 17:16:04
9985,11.30,2024-10-01 17:18:08
9986,11.30,2024-10-01 17:20:12
9987,11.30,2024-10-01 17:22:16
9988,11.30,2024-10-01 17:24:20
9989,22.50,2024-10-01 17:26:24
9990,12.70,2024-10-01 17:28:28
9991,11.30,2024-10-01 17:30:32
9992,9.80,2024-10-01 17:32:36
9993,22.50,2024-10-01 17:34:40
9994,11.30,2024-10-01 17:36:44
9995,11.30,2024-10-01 17:38:48
9996,11.30,2024-10-01 17:40:52
9997,11.30,2024-10-01 17:42:56
9998,11.30,2024-10-01 17:45:00
9999,11.30,2024-10-01 17:47:04
10000,11.30,2024-10-01 17:49:08
10001,12.70,2024-10-01 17:51:12
10002,12.70,2024-10-01 17:53:16
10003,12.70,2024-10-01 17:55:20
10004,9.80,2024-10-01 17:57:24
10005,11.30,2024-10-01 17:59:28
10006,36.70,2024-10-01 18:01:32
10007,11.30,2024-10-01 18:03:36
10008,11.30,2024-10-01 18:05:40
10009,12.70,2024-10-01 18:07:44
10010,11.30,2024-10-01 18:09:48
10011,12.70,2024-10-01 18:11:52
10012,12.70,2024-10-01 18:13:56
10013,11.30,2024-10-01 18:16:00
10014,11.30,2024-10-01 18:18:04
10015,11.30,2024-10-01 18:20:08
10016,11.30,2024-10-01 18:22:12
10017,11.30,2024-10-01 18:24:16
10018,36.70,2024-10-01 18:26:20
10019,25.40,2024-10-01 18:28:24
10020,12.70,2024-10-01 18:30:28
10021,9.80,2024-10-01 18:32:32
10022,11.30,2024-10-01 18:34:36
10023,12.70,2024-10-01 18:36:40
10024,11.30,2024-10-01 18:38:44
10025,35.30,2024-10-01 18:40:48
10026,12.70,2024-10-01 18:42:52
10027,12.70,2024-10-01 18:44:56
10028,11.30,2024-10-01 18:47:00
10029,12.70,2024-10-01 18:49:04
10030,11.30,2024-10-01 18:51:08
10031,24.00,2024-10-01 18:53:12
10032,11.30,2024-10-01 18:55:16
10033,11.30,2024-10-01 18:57:20
10034,9.80,2024-10-01 18:59:24
10035,33.90,2024-10-01 19:01:28
10036,22.50,2024-10-01 19:03:32
10037,11.30,2024-10-01 19:05:36
10038,11.30,2024-10-01 19:07:40
10039,11.30,2024-10-01 19:09:44
10040,12.70,2024-10-01 19:11:48
10041,11.30,2024-10-01 19:13:52
10042,11.30,2024-10-01 19:15:56
10043,12.70,2024-10-01 19:18:00
10044,12.70,2024-10-01 19:20:04
10045,11.30,2024-10-01 19:22:08
